URI	REG_MESO	TR	SEARCH	EN	TYPE	LON	LAT	AR	AR_Alt	AR_Sort	AMBIG	TRUETOP
NA	al-Andalus	LOW	Shaqura	NA	loc	-2.749329	38.225667	شقورة	شقورة	شقورة	0 	0
NA	al-Andalus	LOW	NA	NA	loc	-8.43822	37.18921	شلب	شلب	شلب	0 	0
NA	al-Andalus	LOW	Mankab	NA	loc	-3.69072	36.73393	المنكب	المنكب	منكب	0 	0
RUNDA_051W367N_S	al-Andalus	Rundaŧ	Runda|Ronda	NA	towns	-5.16709	36.74231	رندة	رندة	رندة	0 	0
NA	al-Jazira	LOW	NA	NA	loc	43.643188	37.60357	الهكارية	الهكارية	هكارية	0 	0
NA	al-Maghrib	NA	NA	NA	loc	3.04197	36.7525	الجزائر	الجزائر	جزائر	0 	0
NA	al-Qabq	LOW	NA	NA	locMan	45.131836	41.394943	دوين	دوين	دوين	0 	0
NA	al-Rum	LOW	NA	NA	loc	37.01611	39.74833	سيواس	سيواس	سيواس	0 	0
NA	al-Sham	LOW	NA	NA	loc	36.36515	33.55869	حرستا	حرستا	حرستا	0 	0
NA	al-Sham	NA	NA	NA	loc	36.1005	33.72488	الزبداني	الزبداني	زبداني	0 	0
NA	al-Sham	NA	NA	NA	loc	36.35385	33.5261	زملكا	زملكا	زملكا	0 	0
NA	al-Sham	LOW	NA	NA	locMan	36.4027	33.57175	دومة	دومة	دومة	0 	0
NA	al-Urdunn=&=Filastin	LOW	NA	NA	loc	35.333	30	الحميمة	الحميمة	حميمة	0 	0
NA	Andalus_RE	LOW	NA	NA	loc	-2.77259	37.49073	بسطة	بسطة	بسطة	0 	0
Andalus_RE	Andalus_RE	al-Andalus	al-Andalus|Andalusia	NA	MESO	-3.735352	39.578597	الأندلس	الاندلس	اندلس	0 	1
QURTUBA_047W379N_S	Andalus_RE	Qurṭubaŧ	Qurtuba	NA	metropoles	-4.78135	37.91898	قرطبة	قرطبة	قرطبة	0 	1
ISHBILIYYA_059W374N_R	Andalus_RE	Išbīliyyaŧ	Ishbiliyya	NA	regions	-5.96199	37.4079	إشبيلية	إشبيلية	اشبيلية	0 	0
BAJA_078W380N_R	Andalus_RE	Bāǧaŧ	Baja	NA	regions	-7.80444	38.00689	باجة	باجة	باجة	0 	0
BAJJANA_024W369N_R	Andalus_RE	Baǧǧānaŧ	Bajjana	NA	regions	-2.41826	36.95657	بجانة	بجانة	بجانة	0 	0
BATALYUS_069W388N_R	Andalus_RE	Baṭalyūs	Batalyus|Batalyuth	NA	regions	-6.99606	38.835	بطليوس	بطليوس|بطليوث	بطليوس	0 	1
BALANSIYYA_004W394N_R	Andalus_RE	Balansiyyaŧ	Balansiyya	NA	regions	-0.41486	39.43516	بلنسية	بلنسية	بلنسية	0 	0
TUDMIR_013W379N_R	Andalus_RE	Tudmīr	Tudmir	NA	regions	-1.34462	37.95834	تدمير	تدمير	تدمير	0 	0
TUTILA_016W420N_R	Andalus_RE	Tuṭīlaŧ	Tutila	NA	regions	-1.62697	42.04634	تطيلة	تطيلة	تطيلة	0 	0
JAZIRAKHADRA_054W361N_R	Andalus_RE	Ǧazīraŧ=al-Ḫaḍrāʾ	Jazira=al-Khadra	NA	regions	-5.43793	36.16359	جزيرة=الخضراء	جزيرة=الخضراء	جزيرة=الخضراء	0 	0
KHUSHUNUBA_079W370N_R	Andalus_RE	Ḫušunubaŧ	Khushunuba|Ukhshunuba	NA	regions	-7.90515	37.06463	خشنبة	خشنبة|أخشنبة	خشنبة	0 	0
RAYYA_044W369N_R	Andalus_RE	Rayyaŧ	Rayya|Rayyuh	NA	regions	-4.40368	36.98351	رية	رية|ريه	رية	0 	0
SARAQUSA_009W416N_R	Andalus_RE	Saraqūsaŧ	Saraqusa|Saraqusta	NA	regions	-0.9292	41.63368	سرقسطة	سرقوسة|سرقوسطة|سرقسطة	سرقسطة	0 	1
SHADHUNA_059W364N_R	Andalus_RE	Šaḏūnaŧ	Shadhuna|Shaduna	NA	regions	-5.91433	36.4664	شذونة	شذونة|شدونة	شذونة	0 	1
TULAYTILA_040W398N_R	Andalus_RE	Ṭulayṭilaŧ	Tulaytila	NA	regions	-4.0521	39.88926	طليطلة	طليطلة	طليطلة	0 	1
FAHSBALLUT_048W386N_R	Andalus_RE	Faḥṣ=al-Ballūṭ	Fahs=al-Ballut	NA	regions	-4.89554	38.63018	فحص=البلوط	فحص=البلوط	فحص=البلوط	0 	0
FIRRISH_055W379N_R	Andalus_RE	Firrīš	Firrish|Qarsis	NA	regions	-5.58702	37.95728	فريش	فريش|قرسيس	فريش	0 	0
LIBIRA_036W372N_R	Andalus_RE	Libīraŧ	Libira|Ilbira	NA	regions	-3.66814	37.22734	إلبيرة	لبيرة|إلبيرة	لبيرة	0 	0
MALIQA_044W367N_R	Andalus_RE	Māliqaŧ	Maliqa	NA	regions	-4.43066	36.74791	مالقة	مالقة	مالقة	0 	0
MAYURQA_299E395N_R	Andalus_RE	Mayūrqaŧ	Mayurqa	NA	regions	2.999268	39.539634	ميورقة	ميورقة	ميورقة	0 	0
WADIHIJARA_031W406N_R	Andalus_RE	Wādī=al-Ḥijāraŧ	Wadi=al-Hijara	NA	regions	-3.15111	40.6491	وادي=الحجارة	وادي=الحجارة	وادي=الحجارة	0 	0
WASHQA_003W421N_R	Andalus_RE	Wašqaŧ	Washqa	NA	regions	-0.35371	42.16109	وشقة	وشقة	وشقة	0 	0
YABISA_014E389N_R	Andalus_RE	Yābisaŧ	Yabisa	NA	regions	1.41141	38.94978	يابسة	يابسة	يابسة	0 	0
ABNASH_039W396N_S	Andalus_RE	Abnaš	Abnash	NA	towns	-3.91003	39.63212	أبنش	أبنش	ابنش	0 	0
ARBUNA_030E431N_S	Andalus_RE	Arbūnaŧ	Arbuna	NA	towns	3.00118	43.18643	أربونة	أربونة	اربونة	0 	0
ARJIDUNA_044W370N_S	Andalus_RE	Arǧidūnaŧ	Arjiduna	NA	towns	-4.42886	37.08687	أرجدونة	أرجدونة	ارجدونة	0 	0
ARJUNA_040W379N_S	Andalus_RE	Arǧūnaŧ	Arjuna	NA	towns	-4.053	37.9204	أرجونة	أرجونة	ارجونة	0 	0
ISTIJA_051W375N_S	Andalus_RE	Istiǧaŧ	Istija	NA	towns	-5.10865	37.53493	إستجة	إستجة	استجة	0 	0
ISHBILIYYA_059W374N_S	Andalus_RE	Išbīliyyaŧ	Ishbiliyya	NA	towns	-5.96199	37.4079	إشبيلية	إشبيلية	اشبيلية	0 	1
URYULA_009W380N_S	Andalus_RE	Uryūlaŧ	Uryula	NA	towns	-0.94401	38.08483	أوريولة	اوريولة	اوريولة	0 	0
BAJA_078W380N_S	Andalus_RE	Bāǧaŧ	Baja	NA	towns	-7.80444	38.00689	باجة	باجة	باجة	0 	0
BAJJANA_024W369N_S	Andalus_RE	Baǧǧānaŧ	Bajjana	NA	towns	-2.41826	36.95657	بجانة	بجانة	بجانة	0 	0
BASH_071W388N_S	Andalus_RE	al-Baš	al-Bash|Albas	NA	towns	-7.1741	38.87561	البش	البش|ألبس	بش	0 	0
BATALYUS_069W388N_S	Andalus_RE	Baṭalyūs	Batalyus|Batalyuth	NA	towns	-6.99606	38.835	بطليوس	بطليوس|بطليوث	بطليوس	0 	0
BALANSIYYA_004W394N_S	Andalus_RE	Balansiyyaŧ	Balansiyya	NA	towns	-0.41486	39.43516	بلنسية	بلنسية	بلنسية	0 	0
BAYYASA_034W379N_S	Andalus_RE	Bayyāsaŧ	Bayyasa	NA	towns	-3.45773	37.9998	بياسة	بياسة	بياسة	0 	0
BIZA_078W390N_S	Andalus_RE	Bīzaŧ	Biza	NA	towns	-7.87188	39.02806	بيزة	بيزة	بيزة	0 	0
BAYDA_005E418N_S	Andalus_RE	al-Bayḍāʾ	al-Bayda	NA	towns	0.57785	41.83632	البيضاء	البيضاء	بيضاء	0 	0
BAYGHU_042W374N_S	Andalus_RE	Bayġū	Bayghu	NA	towns	-4.20406	37.45788	بيغو	بيغو	بيغو	0 	0
TARAJILA_059W394N_S	Andalus_RE	Taraǧīlaŧ	Tarajila	NA	towns	-5.93861	39.48654	ترجيلة	ترجيلة	ترجيلة	0 	0
TUTILA_016W420N_S	Andalus_RE	Tuṭīlaŧ	Tutila	NA	towns	-1.62697	42.04634	تطيلة	تطيلة	تطيلة	0 	0
JABALUYUN_069W374N_S	Andalus_RE	Ǧabal=al-ʿUyūn	Jabal=al-Uyun	NA	towns	-6.99696	37.41112	جبل=العيون	جبل=العيون	جبل=العيون	0 	0
JIRUNDA_028E419N_S	Andalus_RE	Ǧirundaŧ	Jirunda	NA	towns	2.84472	41.93607	جرندة	جرندة	جرندة	0 	0
JAZIRAJABALTARIQ_053W361N_S	Andalus_RE	Ǧazīraŧ=Ǧabal=Ṭāriq	Jazira=Jabal=Tariq	NA	towns	-5.33071	36.16752	جزيرة=جبل=طارق	جزيرة=جبل=طارق	جزيرة=جبل=طارق	0 	0
JALMANIYA_072W387N_S	Andalus_RE	Ǧalmāniyaŧ	Jalmaniya	NA	towns	-7.22985	38.77894	جلمانية	جلمانية	جلمانية	0 	0
JAYYAN_038W377N_S	Andalus_RE	Ǧayyān	Jayyan	NA	towns	-3.80302	37.78977	جيان	جيان	جيان	0 	0
HISNBULKUNA_042W378N_S	Andalus_RE	Ḥiṣn=Bulkūnaŧ	Hisn=Bulkuna	NA	towns	-4.22025	37.87073	حصن=بلكونة	حصن=بلكونة	حصن=بلكونة	0 	0
KHUSHUNUBA_079W370N_S	Andalus_RE	Ḫušunubaŧ	Khushunuba|Ukhshunuba	NA	towns	-7.90515	37.06463	خشنبة	خشنبة|أخشنبة	خشنبة	0 	0
DANIYA_001E388N_S	Andalus_RE	Dāniyaŧ	Daniya|Dénia	Dénia	towns	0.105056	38.838799	دانية	دانية	دانية	0 	0
ZAHRA_048W379N_S	Andalus_RE	al-Zahrāʾ	al-Zahra	NA	towns	-4.85328	37.96011	الزهراء	الزهراء	زهراء	0 	0
SARAQUSA_009W416N_S	Andalus_RE	Saraqūsaŧ	Saraqusa|Saraqusta	NA	towns	-0.9292	41.63368	سرقسطة	سرقوسة|سرقوسطة|سرقسطة	سرقسطة	0 	1
SAMMURA_057W414N_S	Andalus_RE	Sammūraŧ	Sammura	NA	towns	-5.76776	41.44051	سمورة	سمورة	سمورة	0 	0
SHATIBA_005W389N_S	Andalus_RE	Šāṭibaŧ	Shatiba	NA	towns	-0.52276	38.96551	شاطبة	شاتبة|شاطبة	شاطبة	0 	0
SHADHUNA_059W364N_S	Andalus_RE	Šaḏūnaŧ	Shadhuna|Shaduna	NA	towns	-5.91433	36.4664	شذونة	شذونة|شدونة	شذونة	0 	0
SHARISH_061W366N_S	Andalus_RE	Šarīš	Sharish	NA	towns	-6.10856	36.69169	شريش	شريش	شريش	0 	0
SHANTARIN_087W392N_S	Andalus_RE	Šantarīn	Shantarin	NA	towns	-8.71712	39.22337	شنترين	شنترين	شنترين	0 	1
SHAWDHAR_033W378N_S	Andalus_RE	Šawḏar	Shawdhar	NA	towns	-3.34803	37.87641	شوذر	شوذر	شوذر	0 	0
TURTUSHA_006E407N_S	Andalus_RE	Ṭurṭūšaŧ	Turtusha	NA	towns	0.60933	40.79221	طرطوشة	طرطوشة	طرطوشة	0 	1
TALABIRA_048W399N_S	Andalus_RE	Ṭalābiraŧ	Talabira	NA	towns	-4.82541	39.97062	طلبيرة	طلابرة|طلبيرة	طلبيرة	0 	0
TULAYTILA_040W398N_S	Andalus_RE	Ṭulayṭilaŧ	Tulaytila	NA	towns	-4.0521	39.88926	طليطلة	طليطلة	طليطلة	0 	1
GHAFIQ_050W386N_S	Andalus_RE	Ġāfiq	Ghafiq	NA	towns	-5.01064	38.68214	غافق	غافق	غافق	0 	0
GHARNATA_035W372N_S	Andalus_RE	Ġarnāṭaŧ	Gharnata	NA	towns	-3.5998	37.20621	غرناطة	غرناطة	غرناطة	0 	1
QADIS_061W365N_S	Andalus_RE	Qādis	Qadis	NA	towns	-6.18409	36.57191	قادس	قادس	قادس	0 	0
QANT_004W383N_S	Andalus_RE	Qānt	Qant	NA	towns	-0.47061	38.34618	قانت	قانت	قانت	0 	0
QARMUNA_056W374N_S	Andalus_RE	Qarmūnaŧ	Qarmuna	NA	towns	-5.64097	37.42933	قرمونة	قرمونة	قرمونة	0 	0
QURIYA_065W399N_S	Andalus_RE	Quriyaŧ	Quriya	NA	towns	-6.55006	39.9627	قرية	قرية	قرية	0 	0
QASTALLA_038W379N_S	Andalus_RE	Qasṭallaŧ	Qastalla	NA	towns	-3.87676	37.98847	قسطلة	قسطلة	قسطلة	0 	0
QASRBANUWARDAS_084W383N_S	Andalus_RE	Qaṣr=Banū=Wardās	Qasr=Banu=Wardas	NA	towns	-8.48333	38.36698	قصر=بنو=ورداس	قصر=بنو=ورداس	قصر=بنو=ورداس	0 	0
QASARASH_063W394N_S	Andalus_RE	Qaṣarāš	Qasarash	NA	towns	-6.3954	39.46953	قصراش	قصراش	قصراش	0 	1
QALARABAH_037W388N_S	Andalus_RE	Qalʿaŧ=Rabāḥ	Qala=Rabah|Qala=Ribat	NA	towns	-3.78324	38.80312	قلعة=رباح	قلعة=رباح|قلعة=رباط	قلعة=رباح	0 	0
QANTARASIF_068W396N_S	Andalus_RE	Qanṭaraŧ=al-Sīf	Qantara=al-Sif	NA	towns	-6.8414	39.69061	قنطرة=السيف	قنطرة=السيف	قنطرة=السيف	0 	0
KARKUYA_040W388N_S	Andalus_RE	Karkūyaŧ	Karkuya	NA	towns	-4.06918	38.81784	كركوية	كركوية	كركوية	0 	0
LAB_072W372N_S	Andalus_RE	Lab	Lab	NA	towns	-7.21996	37.23807	لب	لب	لب	0 	0
LABLA_066W373N_S	Andalus_RE	Lablaŧ	Labla	NA	towns	-6.66965	37.38969	لبلة	لبلة	لبلة	0 	0
LIBIRA_036W372N_S	Andalus_RE	Libīraŧ	Libira|Ilbira	NA	towns	-3.66814	37.22734	إلبيرة	لبيرة|إلبيرة	لبيرة	0 	0
LURQA_017W376N_S	Andalus_RE	Lurqaŧ	Lurqa	NA	towns	-1.73128	37.6532	لرقة	لرقة|لورقة	لرقة	0 	0
LISHBUNA_091W387N_S	Andalus_RE	Lišbūnaŧ	Lishbuna	NA	towns	-9.14514	38.76878	لشبونة	لشبونة	لشبونة	0 	0
LIYUN_055W426N_S	Andalus_RE	Liyūn	Liyun	NA	towns	-5.56634	42.6185	ليون	ليون	ليون	0 	0
MARTUSH_039W377N_S	Andalus_RE	Mārtūš	Martush	NA	towns	-3.98826	37.74285	مارتوش	مارتوش	مارتوش	0 	0
MARIDA_063W388N_S	Andalus_RE	Māridaŧ	Marida	NA	towns	-6.32886	38.89521	ماردة	ماردة	ماردة	0 	0
MALIQA_044W367N_S	Andalus_RE	Māliqaŧ	Maliqa	NA	towns	-4.43066	36.74791	مالقة	مالقة	مالقة	0 	0
MAKHADABALAT_060W398N_S	Andalus_RE	Maḫāḍaŧ=al-Balāṭ	Makhada=al-Balat	NA	towns	-6.06629	39.80641	مخاضة=البلاط	مخاضة=البلاط	مخاضة=البلاط	0 	0
MADALLIN_059W389N_S	Andalus_RE	Madallīn	Madallin	NA	towns	-5.94131	38.93229	مدلين	مدلين	مدلين	0 	0
MADINASALIM_024W411N_S	Andalus_RE	Madīnaŧ=Sālim	Madina=Salim	NA	towns	-2.41736	41.13714	مدينة=سالم	مدينة=سالم	مدينة=سالم	0 	0
MADINASHALAB_084W372N_S	Andalus_RE	Madīnaŧ=Šalab	Madina=Shalab|Shilb	NA	towns	-8.42308	37.22519	مدينة=شلب	مدينة=شلب|شلب	مدينة=شلب	0 	0
MURSIYA_011W379N_S	Andalus_RE	Mursiyaŧ	Mursiya	NA	towns	-1.11443	37.99945	مرسية	مرسية	مرسية	0 	0
MARIYYA_025W368N_S	Andalus_RE	al-Mariyyaŧ	al-Mariyya	NA	towns	-2.50099	36.86202	المرية	المرية	مرية	0 	0
MADAN_091W386N_S	Andalus_RE	al-Maʿdan	al-Madan	NA	towns	-9.19189	38.64984	المعدن	المعدن	معدن	0 	0
MALAQUN_039W391N_S	Andalus_RE	Malaqūn	Malaqun	NA	towns	-3.91362	39.1739	ملقون	ملقون	ملقون	0 	0
MANTISHA_036W398N_S	Andalus_RE	Mantīšaŧ	Mantisha	NA	towns	-3.62588	39.81332	منتيشة	منتيشة	منتيشة	0 	0
MAWRUR_054W371N_S	Andalus_RE	Mawrūr	Mawrur	NA	towns	-5.48272	37.14029	مورور	مورور	مورور	0 	0
MAIDA_068W406N_S	Andalus_RE	al-Maʾidaŧ	al-Maida	NA	towns	-6.87557	40.62317	المئدة	المئدة	مئدة	0 	0
WADIHIJARA_031W406N_S	Andalus_RE	Wādī=al-Ḥijāraŧ	Wadi=al-Hijara	NA	towns	-3.15111	40.6491	وادي=الحجارة	وادي=الحجارة	وادي=الحجارة	0 	0
WADIYASH_031W373N_S	Andalus_RE	Wādiyāš	Wadiyash	NA	towns	-3.16459	37.33966	وادياش	وادياش	وادياش	0 	1
WASHQA_003W421N_S	Andalus_RE	Wašqaŧ	Washqa	NA	towns	-0.35371	42.16109	وشقة	وشقة	وشقة	0 	0
SHAQR_004W391N_S	Andalus_RE	al-Šaqr	al-Shaqr	NA	villages	-0.43734	39.16483	الشقر	الشقر	شقر	0 	0
SHANTARA_093W388N_S	Andalus_RE	Šantaraŧ	Shantara	NA	villages	-9.37353	38.80838	شنترة	شنترة	شنترة	0 	1
QARTAJANNA_009W376N_S	Andalus_RE	Qarṭāǧannaŧ	Qartajanna	NA	villages	-0.98315	37.6005	قرطاجنة	قرطاجنة	قرطاجنة	0 	1
MUGHAN_039W399N_S	Andalus_RE	Muġān	Mughan	NA	villages	-3.9424	39.97062	مغان	مغان	مغان	0 	0
BAHRRUM_017E372N_W	Andalus_RE	Baḥr=al-Rūm	Bahr=al-Rum	NA	waters	1.71713	37.28888	بحر=الروم	بحر=الروم	بحر=الروم	0 	0
NAHRABRUH_009W417N_W	Andalus_RE	Nahr=Abruh	Nahr=Abruh	NA	waters	-0.99933	41.7827	نهر=أبره	نهر=أبره	نهر=ابره	0 	0
NAHRQURTUBA_051W377N_W	Andalus_RE	Nahr=Qurṭūbaŧ	Nahr=Qurtuba	NA	waters	-5.11225	37.75423	نهر=قرطوبة	نهر=قرطوبة	نهر=قرطوبة	0 	0
WADITAJU_080W395N_W	Andalus_RE	Wādī=Tāǧū	Wadi=Taju	NA	waters	-8.03553	39.5299	وادي=تاجو	وادي=تاجو	وادي=تاجو	0 	0
LARIDA_006E416N_S	Andalus_RE	Lāridaŧ	Larida	NA	waystations	0.64889	41.60948	لاردة	لاردة	لاردة	0 	0
AMID_402E379N_S	Aqur_RE	Āmid	Amid	NA	capitals	40.21323	37.9151	آمد	آمد	امد	0 	0
RAQQA_390E359N_S	Aqur_RE	al-Raqqaŧ	al-Raqqa	NA	capitals	39.05128	35.9493	الرقة	الرقة|هرقلة	رقة	0 	0
ARABAN_406E360N_S	Aqur_RE	ʿArabān	Araban	NA	capitals	40.69403	36.05814	عربان	عربان	عربان	0 	0
MAWSIL_431E363N_S	Aqur_RE	al-Mawṣil	al-Mawsil	NA	capitals	43.127	36.32809	الموصل	الموصل	موصل	0 	0
NA	Aqur_RE	NA	NA	NA	loc	38.481191	35.897064	جعبر	جعبر	جعبر	0 	0
Aqur_RE	Aqur_RE	al-Jazīraŧ	al-Jazira	NA	MESO	42.484131	36.582011	الجزيرة	الجزيرة|أقور	جزيرة	0 	0
RAFIQA_390E359N_S	Aqur_RE	al-Rāfiqaŧ	al-Rafiqa	NA	quarters	39.07703	35.94235	الرافقة	الرافقة	رافقة	0 	0
DIYARBAKR_406E378N_R	Aqur_RE	Diyār=Bakr	Diyar=Bakr	NA	regions	40.67909	37.84795	ديار=بكر	ديار=بكر	ديار=بكر	0 	0
DIYARRABIA_419E366N_R	Aqur_RE	Diyār=Rabīʿaŧ	Diyar=Rabia	NA	regions	41.99451	36.65368	ديار=ربيعة	ديار=ربيعة	ديار=ربيعة	0 	0
DIYARMUDAR_389E365N_R	Aqur_RE	Diyār=Muḍar	Diyar=Mudar	NA	regions	38.98256	36.56338	ديار=مضر	ديار=مضر	ديار=مضر	0 	0
JABALJUDI_425E373N_O	Aqur_RE	Ǧabal=al-Ǧūdī	Jabal=al-Judi	NA	sites	42.51884	37.36064	جبل=الجودي	جبل=الجودي	جبل=الجودي	0 	0
SIFFIN_384E358N_O	Aqur_RE	Ṣiffīn	Siffin	NA	sites	38.4104	35.8566	صفين	صفين	صفين	0 	0
ADHRAMA_417E369N_S	Aqur_RE	Aḏramaŧ	Adhrama	NA	towns	41.72002	36.99109	أذرمة	أذرمة	اذرمة	0 	0
IRBIL_440E361N_S	Aqur_RE	Irbīl	Irbil|Erbil	Irbil	towns	44.009085	36.191231	إربيل	إربيل|اربل	اربيل	0 	1
BAJARWAN_389E361N_S	Aqur_RE	Bāǧarwān	Bajarwan	NA	towns	38.98556	36.13571	باجروان	باجروان	باجروان	0 	0
BAAYNATHA_424E366N_S	Aqur_RE	Bāʿaynāṯā	Baaynatha	NA	towns	42.43701	36.6609	باعيناثا	باعيناثا	باعيناثا	0 	1
BADLIS_421E383N_S	Aqur_RE	Badlīs	Badlis|Bidlis	NA	towns	42.13266	38.3955	بدليس	بدليس|بدليس	بدليس	0 	0
BARQAID_420E369N_S	Aqur_RE	Barqaʿīd	Barqaid	NA	towns	42.07551	36.95274	برقعيد	برقعيد	برقعيد	0 	0
BALAD_427E364N_S	Aqur_RE	Balad	Balad	NA	towns	42.758	36.47417	بلد	بلد	بلد	0 	0
TALLAFAR_424E363N_S	Aqur_RE	Tall=Aʿfar	Tall=Afar	NA	towns	42.49401	36.36312	تل=أعفر	تل=أعفر	تل=اعفر	0 	0
TALLHUM_397E381N_S	Aqur_RE	Tall=Ḥūm	Tall=Hum	NA	towns	39.75447	38.19784	تل=حوم	تل=حوم	تل=حوم	0 	0
TALLFAFAN_417E377N_S	Aqur_RE	Tall=Fāfān	Tall=Fafan|Ayn=Tall=Fafan	NA	towns	41.78238	37.72559	تل=فافان	تل=فافان|عين=تل=فافان	تل=فافان	0 	0
TALLMAHRA_391E366N_S	Aqur_RE	Tall=Maḥrá	Tall=Mahra|Tall=Bahra	NA	towns	39.13855	36.61998	تل=محرى	تل=محرى|تل=بحرى	تل=محرى	0 	0
TALLMAWZAN_397E372N_S	Aqur_RE	Tall=Mawzan	Tall=Mawzan	NA	towns	39.7655	37.22748	تل=موزن	تل=موزن	تل=موزن	0 	0
TUNANIR_408E363N_S	Aqur_RE	Tunānīr	Tunanir|Tunaynir	NA	towns	40.87703	36.38969	تنانير	تنانير|تنينير	تنانير	0 	0
THAMANIN_426E373N_S	Aqur_RE	Ṯamānīn	Thamanin	NA	towns	42.64158	37.31295	ثمانين	ثمانين	ثمانين	0 	0
THURABDIN_408E374N_S	Aqur_RE	Ṯūr=ʿAbdīn	Thur=Abdin	NA	towns	40.86321	37.40165	ثور=عبدين	ثور=عبدين	ثور=عبدين	0 	0
JIBAL_416E362N_S	Aqur_RE	al-Ǧibāl	al-Jibal|Ayn=al-Jibal	NA	towns	41.62102	36.2374	الجبال	الجبال|عين=الجبال	جبال	0 	0
JAHSHIYYA_404E366N_S	Aqur_RE	al-Ǧaḥšiyyaŧ	al-Jahshiyya	NA	towns	40.41354	36.65489	الجحشية	الجحشية	جحشية	0 	0
JISRMANBIJ_382E366N_S	Aqur_RE	Ǧisr=Manbiǧ	Jisr=Manbij	NA	towns	38.22057	36.67173	جسر=منبج	جسر=منبج	جسر=منبج	0 	0
HADATH_375E377N_S	Aqur_RE	al-Ḥadaṯ	al-Hadath	NA	towns	37.52545	37.73001	الحدث	الحدث	حدث	0 	0
HADITHA_423E341N_S	Aqur_RE	al-Ḥadīṯaŧ	al-Haditha	NA	towns	42.38707	34.10682	الحديثة	الحديثة	حديثة	0 	0
HADITHA_433E360N_S	Aqur_RE	al-Ḥadīṯaŧ	al-Haditha	NA	towns	43.39249	36.02054	الحديثة	الحديثة	حديثة	0 	0
HARRAN_390E368N_S	Aqur_RE	Ḥarrān	Harran	NA	towns	39.08906	36.88438	حران	حران	حران	0 	0
HASANIYYA_427E371N_S	Aqur_RE	al-Ḥasaniyyaŧ	al-Hasaniyya	NA	towns	42.72248	37.11078	الحسنية	الحسنية	حسنية	0 	0
HISNKAYFA_414E377N_S	Aqur_RE	Ḥiṣn=Kayfā	Hisn=Kayfa	NA	towns	41.42113	37.70021	حصن=كيفا	حصن=كيفا	حصن=كيفا	0 	0
HISNMASLAMA_390E363N_S	Aqur_RE	Ḥiṣn=Maslamaŧ	Hisn=Maslama	NA	towns	39.07106	36.38728	حصن=مسلمة	حصن=مسلمة	حصن=مسلمة	0 	0
HUSAYN_407E356N_S	Aqur_RE	al-Ḥuṣayn	al-Husayn	NA	towns	40.71642	35.62321	الحصين	الحصين	حصين	0 	0
HADR_426E357N_S	Aqur_RE	al-Ḥaḍr	al-Hadr	NA	towns	42.69628	35.79513	الحضر	الحضر	حضر	0 	0
KHANUQA_398E357N_S	Aqur_RE	al-Ḫānūqaŧ	al-Khanuqa	NA	towns	39.81661	35.75218	الخانوقة	الخانوقة	خانوقة	0 	0
DARA_409E371N_S	Aqur_RE	Dārā	Dara	NA	towns	40.94689	37.18527	دارا	دارا	دارا	0 	0
DALIYA_407E347N_S	Aqur_RE	al-Dāliyaŧ	al-Daliya	NA	towns	40.74111	34.71355	الدالية	الدالية	دالية	0 	0
DULUK_371E371N_S	Aqur_RE	Dulūk	Duluk	NA	towns	37.17675	37.17638	دلوك	دلوك	دلوك	0 	0
RASAYN_400E368N_S	Aqur_RE	Raʾs=al-ʿAyn	Ras=al-Ayn	NA	towns	40.06404	36.83758	رأس=العين	رأس=العين	راس=العين	0 	0
RAHBAMALIKIBNTAWQ_404E349N_S	Aqur_RE	Raḥbaŧ=Malik=Ibn=Ṭawq	Rahba=Malik=Ibn=Tawq	NA	towns	40.45784	34.98817	رحبة=ملك=إبن=طوق	رحبة=ملك=إبن=طوق	رحبة=ملك=ابن=طوق	0 	0
RABAN_376E374N_S	Aqur_RE	Raʿbān	Raban	NA	towns	37.68027	37.43156	رعبان	رعبان	رعبان	0 	0
RUHA_388E371N_S	Aqur_RE	al-Ruhā	al-Ruha	NA	towns	38.82122	37.1497	الرها	الرها	رها	0 	0
SUKAYRABBAS_405E352N_S	Aqur_RE	Sukayr=al-ʿAbbās	Sukayr=al-Abbas	NA	towns	40.58767	35.24207	سكير=العباس	سكير=العباس	سكير=العباس	0 	0
SUMAYSAT_385E375N_S	Aqur_RE	Sumaysāṭ	Sumaysat	NA	towns	38.54365	37.54334	سميساط	سميساط	سميساط	0 	1
SINJAR_418E363N_S	Aqur_RE	Sinǧār	Sinjar	NA	towns	41.89101	36.32446	سنجار	سنجار	سنجار	0 	0
SHAMSINIYYA_409E358N_S	Aqur_RE	al-Šamsīniyyaŧ	al-Shamsiniyya|al-Shamsaniyya	NA	towns	40.90954	35.86703	الشمسينية	الشمسينية|الشمسانية	شمسينية	0 	0
SUWWAR_406E354N_S	Aqur_RE	al-Ṣuwwār	al-Suwwar	NA	towns	40.65491	35.49287	الصوار	الصوار	صوار	0 	0
TABAN_407E361N_S	Aqur_RE	Ṭābān	Taban|Talaban	NA	towns	40.76153	36.16114	طابان	طابان|طلبان	طابان	0 	0
ANA_419E344N_S	Aqur_RE	ʿĀnaŧ	Ana	NA	towns	41.95904	34.43481	عانة	عانة	عانة	0 	0
FUDAYN_405E354N_S	Aqur_RE	al-Fudayn	al-Fudayn	NA	towns	40.59626	35.4148	الفدين	الفدين	فدين	0 	0
FAYSHABUR_424E370N_S	Aqur_RE	Fayšābūr	Fayshabur	NA	towns	42.43096	37.04735	فيشابور	فيشابور	فيشابور	0 	0
